Dex	Name	Nom	Form	Type1	Type2	Total	HP	Attack	Defense	SpAtk	SpDef	Speed	Gen	Ether	Psycox	IconUrl	PokeApiIdentifier	Abilities	HiddenAbility	IsFullyEvolved	Category	SmogonTier
254	Sceptile	Jungko		Grass		530	70	85	65	105	85	120	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0254.png	sceptile	overgrow	unburden	true	Normal	ZU
255	Torchic	Poussifeu		Fire		310	45	60	40	70	50	45	3	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0255.png	torchic	blaze	speed-boost	false	Normal	LC
256	Combusken	Galifeu		Fire	Fighting	405	60	85	60	85	60	55	3	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0256.png	combusken	blaze	speed-boost	false	Normal	NFE
257	Blaziken	Braségali		Fire	Fighting	530	80	120	70	110	70	80	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0257.png	blaziken	blaze	speed-boost	true	Normal	UUBL
258	Mudkip	Gobou		Water		310	50	70	50	50	50	40	3	8	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0258.png	mudkip	torrent	damp	false	Normal	LC
259	Marshtomp	Flobio		Water	Ground	405	70	85	70	60	70	50	3	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0259.png	marshtomp	torrent	damp	false	Normal	NFE
260	Swampert	Laggron		Water	Ground	535	100	110	90	85	90	60	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0260.png	swampert	torrent	damp	true	Normal	NU
261	Poochyena	Medhyèna		Dark		220	35	55	35	30	30	35	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0261.png	poochyena	run-away,quick-feet	rattled	false	Normal	LC
262	Mightyena	Grahyèna		Dark		420	70	90	70	60	60	70	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0262.png	mightyena	intimidate,quick-feet	moxie	true	Normal	ZU
263	Zigzagoon	Zigzaton		Normal		240	38	30	41	30	41	60	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0263.png	zigzagoon	pickup,gluttony	quick-feet	false	Normal	Illegal
263	Zigzagoon	Zigzaton	Galarian Zigzagoon	Dark	Normal	240	38	30	41	30	41	60	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0263_01.png	zigzagoon-galar	pickup,gluttony	quick-feet	false	Normal	Illegal
264	Linoone	Linéon		Normal		420	78	70	61	50	61	100	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0264.png	linoone	pickup,gluttony	quick-feet	false	Normal	Illegal
264	Linoone	Linéon	Galarian Linoone	Dark	Normal	420	78	70	61	50	61	100	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0264_01.png	linoone-galar	pickup,gluttony	quick-feet	false	Normal	Illegal
265	Wurmple	Chenipotte		Bug		195	45	45	35	20	30	20	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0265.png	wurmple	shield-dust	run-away	false	Normal	Illegal
266	Silcoon	Armulys		Bug		205	50	35	55	25	25	15	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0266.png	silcoon	shed-skin		false	Normal	Illegal
267	Beautifly	Charmillon		Bug	Flying	395	60	70	50	100	50	65	3	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0267.png	beautifly	swarm	rivalry	true	Normal	Illegal
268	Cascoon	Blindalys		Bug		205	50	35	55	25	25	15	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0268.png	cascoon	shed-skin		false	Normal	Illegal
269	Dustox	Papinox		Bug	Poison	385	60	50	70	50	90	65	3	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0269.png	dustox	shield-dust	compound-eyes	true	Normal	Illegal
270	Lotad	Nénupiot		Water	Grass	220	40	30	30	40	50	30	3	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0270.png	lotad	swift-swim,rain-dish	own-tempo	false	Normal	LC
271	Lombre	Lombre		Water	Grass	340	60	50	50	60	70	50	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0271.png	lombre	swift-swim,rain-dish	own-tempo	false	Normal	NFE
272	Ludicolo	Ludicolo		Water	Grass	480	80	70	70	90	100	70	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0272.png	ludicolo	swift-swim,rain-dish	own-tempo	true	Normal	ZU
273	Seedot	Grainipiot		Grass		220	40	40	50	30	30	30	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0273.png	seedot	chlorophyll,early-bird	pickpocket	false	Normal	LC
274	Nuzleaf	Pifeuil		Grass	Dark	340	70	70	40	60	40	60	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0274.png	nuzleaf	chlorophyll,early-bird	pickpocket	false	Normal	NFE
275	Shiftry	Tengalice		Grass	Dark	480	90	100	60	90	60	80	3	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0275.png	shiftry	chlorophyll,wind-rider	pickpocket	true	Normal	ZU
276	Taillow	Nirondelle		Normal	Flying	270	40	55	30	30	30	85	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0276.png	taillow	guts	scrappy	false	Normal	Illegal
277	Swellow	Hélédelle		Normal	Flying	455	60	85	60	75	50	125	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0277.png	swellow	guts	scrappy	true	Normal	Illegal
278	Wingull	Goélise		Water	Flying	270	40	30	30	55	30	85	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0278.png	wingull	keen-eye,hydration	rain-dish	false	Normal	LC
279	Pelipper	Bekipan		Water	Flying	440	60	50	100	95	70	65	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0279.png	pelipper	keen-eye,drizzle	rain-dish	true	Normal	UUBL
280	Ralts	Tarsal		Psychic	Fairy	198	28	25	25	45	35	40	3	8	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0280.png	ralts	synchronize,trace	telepathy	false	Normal	LC
281	Kirlia	Kirlia		Psychic	Fairy	278	38	35	35	65	55	50	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0281.png	kirlia	synchronize,trace	telepathy	false	Normal	NFE
282	Gardevoir	Gardevoir		Psychic	Fairy	518	68	65	65	125	115	80	3	9	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0282.png	gardevoir	synchronize,trace	telepathy	true	Normal	RU
283	Surskit	Arakdo		Bug	Water	269	40	30	32	50	52	65	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0283.png	surskit	swift-swim	rain-dish	false	Normal	LC
284	Masquerain	Maskadra		Bug	Flying	454	70	60	62	100	82	80	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0284.png	masquerain	intimidate	unnerve	true	Normal	ZU
285	Shroomish	Balignon		Grass		295	60	40	60	40	60	35	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0285.png	shroomish	effect-spore,poison-heal	quick-feet	false	Normal	LC
286	Breloom	Chapignon		Grass	Fighting	460	60	130	80	60	60	70	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0286.png	breloom	effect-spore,poison-heal	technician	true	Normal	NU
287	Slakoth	Parécool		Normal		280	60	60	60	35	35	30	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0287.png	slakoth	truant		false	Normal	LC
288	Vigoroth	Vigoroth		Normal		440	80	80	80	55	55	90	3	5	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0288.png	vigoroth	vital-spirit		false	Normal	NFE
289	Slaking	Monaflèmit		Normal		670	150	160	100	95	65	100	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0289.png	slaking	truant		true	Normal	ZU
290	Nincada	Ningale		Bug	Ground	266	31	45	90	30	30	40	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0290.png	nincada	compound-eyes	run-away	false	Normal	Illegal
291	Ninjask	Ninjask		Bug	Flying	456	61	90	45	50	50	160	3	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0291.png	ninjask	speed-boost	infiltrator	true	Normal	Illegal
292	Shedinja	Munja		Bug	Ghost	236	1	90	45	30	30	40	3	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0292.png	shedinja	wonder-guard		true	Normal	Illegal
293	Whismur	Chuchmur		Normal		240	64	51	23	51	23	28	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0293.png	whismur	soundproof	rattled	false	Normal	Illegal
294	Loudred	Ramboum		Normal		360	84	71	43	71	43	48	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0294.png	loudred	soundproof	scrappy	false	Normal	Illegal
295	Exploud	Brouhabam		Normal		490	104	91	63	91	73	68	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0295.png	exploud	soundproof	scrappy	true	Normal	Illegal
296	Makuhita	Makuhita		Fighting		237	72	60	30	20	30	25	3	5	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0296.png	makuhita	thick-fat,guts	sheer-force	false	Normal	LC
297	Hariyama	Hariyama		Fighting		474	144	120	60	40	60	50	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0297.png	hariyama	thick-fat,guts	sheer-force	true	Normal	PU
298	Azurill	Azurill		Normal	Fairy	190	50	20	40	20	40	20	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0298.png	azurill	thick-fat,huge-power	sap-sipper	false	Baby	LC
299	Nosepass	Tarinor		Rock		375	30	45	135	45	90	30	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0299.png	nosepass	sturdy,magnet-pull	sand-force	false	Normal	LC
300	Skitty	Skitty		Normal		260	50	45	45	35	35	50	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0300.png	skitty	cute-charm,normalize	wonder-skin	false	Normal	Illegal
301	Delcatty	Delcatty		Normal		400	70	65	65	55	55	90	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0301.png	delcatty	cute-charm,normalize	wonder-skin	true	Normal	Illegal
302	Sableye	Ténéfix		Dark	Ghost	380	50	75	75	65	65	50	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0302.png	sableye	keen-eye,stall	prankster	true	Normal	ZU
303	Mawile	Mysdibule		Steel	Fairy	380	50	85	85	55	55	50	3	9	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0303.png	mawile	hyper-cutter,intimidate	sheer-force	true	Normal	Illegal
304	Aron	Galekid		Steel	Rock	330	50	70	100	40	40	30	3	8	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0304.png	aron	sturdy,rock-head	heavy-metal	false	Normal	Illegal
305	Lairon	Galegon		Steel	Rock	430	60	90	140	50	50	40	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0305.png	lairon	sturdy,rock-head	heavy-metal	false	Normal	Illegal
306	Aggron	Galeking		Steel	Rock	530	70	110	180	60	60	50	3	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0306.png	aggron	sturdy,rock-head	heavy-metal	true	Normal	Illegal
307	Meditite	Méditikka		Fighting	Psychic	280	30	40	55	40	55	60	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0307.png	meditite	pure-power	telepathy	false	Normal	NFE
308	Medicham	Charmina		Fighting	Psychic	410	60	60	75	60	75	80	3	2	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0308.png	medicham	pure-power	telepathy	true	Normal	ZU
309	Electrike	Dynavolt		Electric		295	40	45	40	65	40	65	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0309.png	electrike	static,lightning-rod	minus	false	Normal	Illegal
310	Manectric	Élecsprint		Electric		475	70	75	60	105	60	105	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0310.png	manectric	static,lightning-rod	minus	true	Normal	Illegal
311	Plusle	Posipi		Electric		405	60	50	40	85	75	95	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0311.png	plusle	plus	lightning-rod	true	Normal	ZU
312	Minun	Négapi		Electric		405	60	40	50	75	85	95	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0312.png	minun	minus	volt-absorb	true	Normal	ZU
313	Volbeat	Muciole		Bug		430	65	73	75	47	85	85	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0313.png	volbeat	illuminate,swarm	prankster	true	Normal	ZU
314	Illumise	Lumivole		Bug		430	65	47	75	73	85	85	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0314.png	illumise	oblivious,tinted-lens	prankster	true	Normal	ZU
315	Roselia	Rosélia		Grass	Poison	400	50	60	45	100	80	65	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0315.png	roselia	natural-cure,poison-point	leaf-guard	false	Normal	Illegal
316	Gulpin	Gloupti		Poison		302	70	43	53	43	53	40	3	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0316.png	gulpin	liquid-ooze,sticky-hold	gluttony	false	Normal	LC
317	Swalot	Avaltout		Poison		467	100	73	83	73	83	55	3	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0317.png	swalot	liquid-ooze,sticky-hold	gluttony	true	Normal	ZU
318	Carvanha	Carvanha		Water	Dark	305	45	90	20	65	20	65	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0318.png	carvanha	rough-skin	speed-boost	false	Normal	Illegal
319	Sharpedo	Sharpedo		Water	Dark	460	70	120	40	95	40	95	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0319.png	sharpedo	rough-skin	speed-boost	true	Normal	Illegal
320	Wailmer	Wailmer		Water		400	130	70	35	70	35	60	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0320.png	wailmer	water-veil,oblivious	pressure	false	Normal	Illegal
321	Wailord	Wailord		Water		500	170	90	45	90	45	60	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0321.png	wailord	water-veil,oblivious	pressure	true	Normal	Illegal
322	Numel	Chamallot		Fire	Ground	305	60	60	40	65	45	35	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0322.png	numel	oblivious,simple	own-tempo	false	Normal	LC
323	Camerupt	Camérupt		Fire	Ground	460	70	100	70	105	75	40	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0323.png	camerupt	magma-armor,solid-rock	anger-point	true	Normal	ZU
324	Torkoal	Chartor		Fire		470	70	85	140	85	70	20	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0324.png	torkoal	white-smoke,drought	shell-armor	true	Normal	ZU
325	Spoink	Spoink		Psychic		330	60	25	35	70	80	60	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0325.png	spoink	thick-fat,own-tempo	gluttony	false	Normal	LC
326	Grumpig	Groret		Psychic		470	80	45	65	90	110	80	3	2	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0326.png	grumpig	thick-fat,own-tempo	gluttony	true	Normal	ZU
327	Spinda	Spinda		Normal		360	60	60	60	60	60	60	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0327.png	spinda	own-tempo,tangled-feet	contrary	true	Normal	Illegal
328	Trapinch	Kraknoix		Ground		290	45	100	45	45	45	10	3	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0328.png	trapinch	hyper-cutter,arena-trap	sheer-force	false	Normal	LC
329	Vibrava	Vibraninf		Ground	Dragon	340	50	70	50	50	50	70	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0329.png	vibrava	levitate		false	Normal	NFE
330	Flygon	Libégon		Ground	Dragon	520	80	100	80	80	80	100	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0330.png	flygon	levitate		true	Normal	NU
331	Cacnea	Cacnea		Grass		335	50	85	40	85	40	35	3	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0331.png	cacnea	sand-veil	water-absorb	false	Normal	LC
332	Cacturne	Cacturne		Grass	Dark	475	70	115	60	115	60	55	3	5	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0332.png	cacturne	sand-veil	water-absorb	true	Normal	ZU
333	Swablu	Tylton		Normal	Flying	310	45	40	60	40	75	50	3	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0333.png	swablu	natural-cure	cloud-nine	false	Normal	LC
334	Altaria	Altaria		Dragon	Flying	490	75	70	90	70	105	80	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0334.png	altaria	natural-cure	cloud-nine	true	Normal	NU
335	Zangoose	Mangriff		Normal		458	73	115	60	60	60	90	3	7	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0335.png	zangoose	immunity	toxic-boost	true	Normal	ZU
336	Seviper	Séviper		Poison		458	73	100	60	100	60	65	3	4	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0336.png	seviper	shed-skin	infiltrator	true	Normal	ZU
337	Lunatone	Séléroc		Rock	Psychic	460	90	55	65	95	85	70	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0337.png	lunatone	levitate		true	Normal	Illegal
338	Solrock	Solaroc		Rock	Psychic	460	90	95	85	55	65	70	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0338.png	solrock	levitate		true	Normal	Illegal
339	Barboach	Barloche		Water	Ground	288	50	48	43	46	41	60	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0339.png	barboach	oblivious,anticipation	hydration	false	Normal	LC
340	Whiscash	Barbicha		Water	Ground	468	110	78	73	76	71	60	3	4	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0340.png	whiscash	oblivious,anticipation	hydration	true	Normal	ZU
341	Corphish	Écrapince		Water		308	43	80	65	50	35	35	3	5	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0341.png	corphish	hyper-cutter,shell-armor	adaptability	false	Normal	LC
342	Crawdaunt	Colhomard		Water	Dark	468	63	120	85	90	55	55	3	6	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0342.png	crawdaunt	hyper-cutter,shell-armor	adaptability	true	Normal	RU
343	Baltoy	Balbuto		Ground	Psychic	300	40	40	55	40	70	55	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0343.png	baltoy	levitate		false	Normal	Illegal
344	Claydol	Kaorine		Ground	Psychic	500	60	70	105	70	120	75	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0344.png	claydol	levitate		true	Normal	Illegal
345	Lileep	Lilia		Rock	Grass	355	66	41	77	61	87	23	3	2	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0345.png	lileep	suction-cups	storm-drain	false	Normal	Illegal
346	Cradily	Vacilys		Rock	Grass	495	86	81	97	81	107	43	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0346.png	cradily	suction-cups	storm-drain	true	Normal	Illegal
347	Anorith	Anorith		Rock	Bug	355	45	95	50	40	50	75	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0347.png	anorith	battle-armor	swift-swim	false	Normal	Illegal
348	Armaldo	Armaldo		Rock	Bug	495	75	125	100	70	80	45	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0348.png	armaldo	battle-armor	swift-swim	true	Normal	Illegal
349	Feebas	Barpau		Water		200	20	15	20	10	55	80	3	5	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0349.png	feebas	swift-swim,oblivious	adaptability	false	Normal	LC
350	Milotic	Milobellus		Water		540	95	60	79	100	125	81	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0350.png	milotic	marvel-scale,competitive	cute-charm	true	Normal	PU
351	Castform	Morphéo		Normal		420	70	70	70	70	70	70	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0351.png	castform	forecast		true	Normal	Illegal
352	Kecleon	Kecleon		Normal		440	60	90	70	60	120	40	3	6	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0352.png	kecleon	color-change	protean	true	Normal	Illegal
353	Shuppet	Polichombr		Ghost		295	44	75	35	63	33	45	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0353.png	shuppet	insomnia,frisk	cursed-body	false	Normal	LC
354	Banette	Branette		Ghost		455	64	115	65	83	63	65	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0354.png	banette	insomnia,frisk	cursed-body	true	Normal	ZU
355	Duskull	Skelénox		Ghost		295	20	40	90	30	90	25	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0355.png	duskull	levitate	frisk	false	Normal	LC
356	Dusclops	Téraclope		Ghost		455	40	70	130	60	130	25	3	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0356.png	dusclops	pressure	frisk	false	Normal	NFE
357	Tropius	Tropius		Grass	Flying	460	99	68	83	72	87	51	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0357.png	tropius	chlorophyll,solar-power	harvest	true	Normal	ZU
358	Chimecho	Éoko		Psychic		455	75	50	80	95	90	65	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0358.png	chimecho	levitate		true	Normal	ZU
359	Absol	Absol		Dark		465	65	130	60	75	60	75	3	10	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0359.png	absol	pressure,super-luck	justified	true	Normal	Illegal
360	Wynaut	Okéoké		Psychic		260	95	23	48	23	48	23	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0360.png	wynaut	shadow-tag	telepathy	false	Baby	Illegal
361	Snorunt	Stalgamin		Ice		300	50	50	50	50	50	50	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0361.png	snorunt	inner-focus,ice-body	moody	false	Normal	LC
362	Glalie	Oniglali		Ice		480	80	80	80	80	80	80	3	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0362.png	glalie	inner-focus,ice-body	moody	true	Normal	ZU
363	Spheal	Obalie		Ice	Water	290	70	40	50	55	50	25	3	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0363.png	spheal	thick-fat,ice-body	oblivious	false	Normal	Illegal
364	Sealeo	Phogleur		Ice	Water	410	90	60	70	75	70	45	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0364.png	sealeo	thick-fat,ice-body	oblivious	false	Normal	Illegal
365	Walrein	Kaimorse		Ice	Water	530	110	80	90	95	90	65	3	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0365.png	walrein	thick-fat,ice-body	oblivious	true	Normal	Illegal
366	Clamperl	Coquiperl		Water		345	35	64	85	74	55	32	3	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0366.png	clamperl	shell-armor	rattled	false	Normal	Illegal
367	Huntail	Serpang		Water		485	55	104	105	94	75	52	3	2	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0367.png	huntail	swift-swim	water-veil	true	Normal	Illegal
368	Gorebyss	Rosabyss		Water		485	55	84	105	114	75	52	3	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0368.png	gorebyss	swift-swim	hydration	true	Normal	Illegal
369	Relicanth	Relicanth		Water	Rock	485	100	90	130	45	65	55	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0369.png	relicanth	swift-swim,rock-head	sturdy	true	Normal	Illegal
370	Luvdisc	Lovdisc		Water		330	43	30	55	40	65	97	3	2	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0370.png	luvdisc	swift-swim	hydration	true	Normal	ZU
371	Bagon	Draby		Dragon		300	45	75	60	40	30	50	3	5	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0371.png	bagon	rock-head	sheer-force	false	Normal	LC
372	Shelgon	Drackhaus		Dragon		420	65	95	100	60	50	50	3	3	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0372.png	shelgon	rock-head	overcoat	false	Normal	NFE
373	Salamence	Drattak		Dragon	Flying	600	95	135	80	110	80	100	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0373.png	salamence	intimidate	moxie	true	Normal	RU
374	Beldum	Terhal		Steel	Psychic	300	40	55	80	35	60	30	3	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0374.png	beldum	clear-body	light-metal	false	Normal	LC
375	Metang	Métang		Steel	Psychic	420	60	75	100	55	80	50	3	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0375.png	metang	clear-body	light-metal	false	Normal	NFE
376	Metagross	Métalosse		Steel	Psychic	600	80	135	130	95	90	70	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0376.png	metagross	clear-body	light-metal	true	Normal	UU
377	Regirock	Regirock		Rock		580	80	100	200	50	100	50	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0377.png	regirock	clear-body	sturdy	true	Legendary	ZU
378	Regice	Regice		Ice		580	80	50	100	100	200	50	3	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0378.png	regice	clear-body	ice-body	true	Legendary	ZU
379	Registeel	Registeel		Steel		580	80	75	150	75	150	50	3	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0379.png	registeel	clear-body	light-metal	true	Legendary	RU
380	Latias	Latias		Dragon	Psychic	600	80	80	90	110	130	110	3	10	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0380.png	latias	levitate		true	Legendary	UUBL
381	Latios	Latios		Dragon	Psychic	600	80	90	80	130	110	110	3	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0381.png	latios	levitate		true	Legendary	UU
382	Kyogre	Kyogre		Water		670	100	100	90	150	140	90	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0382.png	kyogre	drizzle		true	Legendary	Uber
383	Groudon	Groudon		Ground		670	100	150	140	100	90	90	3	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0383.png	groudon	drought		true	Legendary	Uber
384	Rayquaza	Rayquaza		Dragon	Flying	680	105	150	90	150	90	95	3	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0384.png	rayquaza	air-lock		true	Legendary	Uber
385	Jirachi	Jirachi		Steel	Psychic	600	100	100	100	100	100	100	3	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0385.png	jirachi	serene-grace		true	Mythical	RU
386	Deoxys	Deoxys	Normal Forme	Psychic		600	50	150	50	150	50	150	3	5	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0386.png	deoxys-normal	pressure		true	Mythical	Unknown
386	Deoxys	Deoxys	Attack Forme	Psychic		600	50	180	20	180	20	150	3			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0386_01.png	deoxys-attack	pressure		true	Mythical	Uber
386	Deoxys	Deoxys	Defense Forme	Psychic		600	50	70	160	70	160	90	3			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0386_02.png	deoxys-defense	pressure		true	Mythical	NUBL
386	Deoxys	Deoxys	Speed Forme	Psychic		600	50	95	90	95	90	180	3			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0386_03.png	deoxys-speed	pressure		true	Mythical	OU
387	Turtwig	Tortipouss		Grass		318	55	68	64	45	55	31	4	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0387.png	turtwig	overgrow	shell-armor	false	Normal	LC
